Model,Threshold_Type,Threshold,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,MCC
CatBoost_Optimized,default,0.5,0.42755765819041985,0.071,0.6454545454545455,0.12792792792792793,0.5447444080271405,0.07899045495022107,0.029022836000311556
CatBoost_Optimized,f1_optimized,0.9236819267156459,0.8840922531046718,0.10185185185185185,0.1,0.10091743119266056,0.5447444080271405,0.07899045495022107,0.03897797589401309
CatBoost_Optimized,cost_sensitive,0.9,0.8456534594914252,0.08287292817679558,0.13636363636363635,0.10309278350515463,0.5447444080271405,0.07899045495022107,0.025021003076215086
XGBoost_Optimized,default,0.5,0.7912477823772915,0.09900990099009901,0.2727272727272727,0.14527845036319612,0.574141797481456,0.07969438918580626,0.06433849880992402
XGBoost_Optimized,f1_optimized,0.00030905765015631914,0.06623299822590184,0.06512729425695678,1.0,0.12229016120066703,0.574141797481456,0.07969438918580626,0.009076754321659154
XGBoost_Optimized,cost_sensitive,0.9,0.9178001182732111,0.0,0.0,0.0,0.574141797481456,0.07969438918580626,-0.0348428680971949
EasyEnsemble_Optimized,default,0.5,0.657599053814311,0.07285974499089254,0.36363636363636365,0.12139605462822459,0.5460496808694153,0.07537181505288824,0.021956165961190537
EasyEnsemble_Optimized,f1_optimized,0.48334948513222536,0.5446481371969248,0.07364341085271318,0.5181818181818182,0.12895927601809956,0.5460496808694153,0.07537181505288824,0.03201247626070646
EasyEnsemble_Optimized,cost_sensitive,0.5848484848484848,0.9266706091070372,0.0625,0.00909090909090909,0.015873015873015872,0.5460496808694153,0.07537181505288824,-0.0010106933685466702
